seed,configuration,incident_rate,task_success_rate,human_review_load,runs
20260827,none,0.6221428571428571,0.9014285714285715,0.2764285714285714,1400
20260827,recommended_bundle,0.33714285714285713,0.8542857142857143,0.2764285714285714,1400
20260827,empirical_budget_40,0.33714285714285713,0.8542857142857143,0.2764285714285714,1400
20260828,none,0.5992857142857143,0.9071428571428571,0.2621428571428571,1400
20260828,recommended_bundle,0.32,0.8757142857142857,0.2621428571428571,1400
20260828,empirical_budget_40,0.32,0.8757142857142857,0.2621428571428571,1400
20260829,none,0.6078571428571429,0.88,0.26357142857142857,1400
20260829,recommended_bundle,0.34285714285714286,0.8435714285714285,0.26357142857142857,1400
20260829,empirical_budget_40,0.34285714285714286,0.8435714285714285,0.26357142857142857,1400
20260830,none,0.6014285714285714,0.8928571428571429,0.2735714285714286,1400
20260830,recommended_bundle,0.3342857142857143,0.8457142857142858,0.2735714285714286,1400
20260830,empirical_budget_40,0.3342857142857143,0.8457142857142858,0.2735714285714286,1400
20260831,none,0.6042857142857143,0.8921428571428571,0.2557142857142857,1400
20260831,recommended_bundle,0.3342857142857143,0.8535714285714285,0.2557142857142857,1400
20260831,empirical_budget_40,0.3342857142857143,0.8535714285714285,0.2557142857142857,1400
20260832,none,0.6085714285714285,0.9,0.285,1400
20260832,recommended_bundle,0.33285714285714285,0.8635714285714285,0.285,1400
20260832,empirical_budget_40,0.33285714285714285,0.8635714285714285,0.285,1400
20260833,none,0.6128571428571429,0.8764285714285714,0.27214285714285713,1400
20260833,recommended_bundle,0.35214285714285715,0.8307142857142857,0.27214285714285713,1400
20260833,empirical_budget_40,0.35214285714285715,0.8307142857142857,0.27214285714285713,1400
20260834,none,0.6092857142857143,0.8907142857142857,0.27214285714285713,1400
20260834,recommended_bundle,0.3585714285714286,0.85,0.27214285714285713,1400
20260834,empirical_budget_40,0.3585714285714286,0.85,0.27214285714285713,1400
20260835,none,0.5921428571428572,0.8985714285714286,0.26285714285714284,1400
20260835,recommended_bundle,0.3264285714285714,0.8621428571428571,0.26285714285714284,1400
20260835,empirical_budget_40,0.3264285714285714,0.8621428571428571,0.26285714285714284,1400
20260836,none,0.6121428571428571,0.8914285714285715,0.2664285714285714,1400
20260836,recommended_bundle,0.34714285714285714,0.8471428571428572,0.2664285714285714,1400
20260836,empirical_budget_40,0.34714285714285714,0.8471428571428572,0.2664285714285714,1400
20260837,none,0.5892857142857143,0.8992857142857142,0.275,1400
20260837,recommended_bundle,0.33214285714285713,0.8585714285714285,0.275,1400
20260837,empirical_budget_40,0.33214285714285713,0.8585714285714285,0.275,1400
20260838,none,0.605,0.8971428571428571,0.27214285714285713,1400
20260838,recommended_bundle,0.325,0.8571428571428571,0.27214285714285713,1400
20260838,empirical_budget_40,0.325,0.8571428571428571,0.27214285714285713,1400
